"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000211778","ENSG00000211778","TRAV4","TR_V_gene","T cell receptor alpha variable 4 [Source:HGNC Symbol;Acc:HGNC:12140]",TRUE,FALSE
"ENSG00000211779","ENSG00000211779","TRAV5","TR_V_gene","T cell receptor alpha variable 5 [Source:HGNC Symbol;Acc:HGNC:12143]",TRUE,FALSE
"ENSG00000240954","ENSG00000240954","RPL4P1","processed_pseudogene","ribosomal protein L4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23551]",TRUE,FALSE
"ENSG00000182652","ENSG00000182652","OR4Q3","protein_coding","olfactory receptor family 4 subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:15426]",TRUE,TRUE
"ENSG00000129473","ENSG00000129473","BCL2L2","protein_coding","BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]",TRUE,TRUE
"ENSG00000258452","ENSG00000258452","HMGN2P2","processed_pseudogene","high mobility group nucleosomal binding domain 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20016]",TRUE,FALSE
"ENSG00000165409","ENSG00000165409","TSHR","protein_coding","thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]",TRUE,TRUE
"ENSG00000258915","ENSG00000258915","GPRASP3P1","processed_pseudogene","GPRASP3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51373]",TRUE,FALSE
"ENSG00000271705","ENSG00000271705","RPL17P3","unprocessed_pseudogene","ribosomal protein L17 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:19796]",TRUE,FALSE
"ENSG00000271656","ENSG00000271656","","processed_pseudogene","ribosomal protein L17 (RPL17) pseudogene",FALSE,FALSE
"ENSG00000259167","ENSG00000259167","NMNAT1P1","processed_pseudogene","NMNAT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20024]",TRUE,FALSE
"ENSG00000286686","ENSG00000286686","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000165417","ENSG00000165417","GTF2A1","protein_coding","general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]",TRUE,TRUE
"ENSG00000221303","ENSG00000221303","SNORA79","snoRNA","small nucleolar RNA, H/ACA box 79 [Source:HGNC Symbol;Acc:HGNC:32665]",TRUE,FALSE
"ENSG00000205579","ENSG00000205579","DYNLL1P1","processed_pseudogene","dynein light chain LC8-type 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20723]",TRUE,FALSE
"ENSG00000270343","ENSG00000270343","UNGP3","processed_pseudogene","uracil-DNA glycosylase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:20036]",TRUE,FALSE
"ENSG00000242163","ENSG00000242163","","processed_pseudogene","ribosomal protein S24 (RPS24) pseudogene",FALSE,FALSE
"ENSG00000258605","ENSG00000258605","DYNLL1P2","processed_pseudogene","dynein light chain LC8-type 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20724]",TRUE,FALSE
"ENSG00000258675","ENSG00000258675","LINC02308","lncRNA","long intergenic non-protein coding RNA 2308 [Source:HGNC Symbol;Acc:HGNC:53227]",TRUE,FALSE
"ENSG00000254656","ENSG00000254656","RTL1","protein_coding","retrotransposon Gag like 1 [Source:HGNC Symbol;Acc:HGNC:14665]",TRUE,TRUE
"ENSG00000199755","ENSG00000199755","","misc_RNA","Y RNA [Source:RFAM;Acc:RF00019]",FALSE,FALSE
"ENSG00000134001","ENSG00000134001","EIF2S1","protein_coding","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]",TRUE,TRUE
"ENSG00000100558","ENSG00000100558","PLEK2","protein_coding","pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]",TRUE,TRUE
"ENSG00000265993","ENSG00000265993","MIR5694","miRNA","microRNA 5694 [Source:HGNC Symbol;Acc:HGNC:43530]",TRUE,FALSE
"ENSG00000156127","ENSG00000156127","BATF","protein_coding","basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]",TRUE,TRUE
"ENSG00000119686","ENSG00000119686","FLVCR2","protein_coding","FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]",TRUE,TRUE
"ENSG00000242951","ENSG00000242951","","processed_pseudogene","ribosomal protein S24 (RPS24) pseudogene",FALSE,FALSE
